SubModelID,SubModelName
2202,SH-AWD
2203,R3
2205,RMZ-4
2206,VR6 4Motion
2213,One-Ton DLX
2214,1.6
2215,xDrive35d
2216,HSE Lux
2217,John Cooper Works
2218,John Cooper Works Clubman
2221,xDrive30i
2222,xDrive48i
2223,Competizione
2224,Krom
2225,+
2226,!
2227,Big Horn
2228,Lone Star
2229,Premium Plus
2230,Prestige
2231,sDrive30i
2232,sDrive35i
2233,Championship Series
2234,2.0T Premium
2235,2.0T Track
2236,3.8 Grand Touring
2237,3.8 Track
2238,2.0T R-Spec
2239,SVT Cobra 10th Anniversary
2240,CXL Special Edition
2241,T5 R-Design
2242,Titanium
2430,Distinctive
2431,Confort
2432,Elegance
2433,Deportivo TI
2434,JTS
2435,JTS Q4
2436,Ambition
2437,Attraction
2438,Ambiente
2439,Avant Confort
2440,Avant Luxury
2441,Basico
2442,Advance
2443,Cabrio
2444,Vangard
2445,S Line
2446,Attraction Plus
2447,S Line Sport
2448,Trendy
2449,Luxury AA Plus
2450,DTM
2451,Classic Edition
2452,X Aniversario
2453,Cabrio Elite
2454,Cabrio S Line
2455,Trendy Plus
2456,TDI Elite
2457,TDI Luxury
2458,2.8i
2459,1.9i
2460,4.4i Lujo
2461,4.4i Top Line
2462,2.0i
2463,2.2i
2464,4.4i Formula 1
2465,Business
2466,Dynamic
2467,Formula 1
2468,Top
2469,M Sport
2470,2.5si
2471,4.8i Premium
2472,Sport Limited Edition
2473,xDrive30i M Sport
2474,xDrive48i M Sport
2475,xDrive35iA
2476,xDrive50iA
2477,Lujo
2478,Tipico
2479,Joy
2480,Swing
2481,400 SS
2482,60th Anniversary
2483,Heavy Duty
2484,Taxi
2485,World Cup
2486,Delux
2489,Austera
2490,Comfort
2491,Popular
2492,Monza Low Cost
2493,Pop
2494,Swing Pop
2495,EXT B
2496,Q
